(1) Код товара;(2) Полное описание
SI-190;
SI-130 AМ;
CD408A;<p><strong>SC&T CD408A  - Видеоусилитель-разветвитель 4 входа / 8 выходов.</strong></p>Технические характеристики SC&T CD408A<ul><li>    усиление 10 дБ, коррекция высоких частот-<br /><li>     регулировка чёткости и яркости, прекрасно подходит для систем с видеорегистраторами-<br /><li>    обеспечивает передачу сигнала по коаксиальному кабелю (RG-59) до 1000 м-<br /><li>     питание: 12 В (пост. ток)-<br /><li>     блок питания в комплекте.</ul>Документация SC&T CD408A<p>
TDP414VP (без БП);<p><strong>SC&T TDP414VP  - Концентратор 4 RJ45 на 1 RJ45 с цепью питания видеокамер (без БП).</strong></p>Технические характеристики SC&T TDP414VP<ul><li>    объединяет 4 кабеля UTP в 1 кабель-<br /><li>    клеммы для подключения блока питания видеокамер-<br /><li>    обеспечивает питание видеокамер (на расстоянии до 50 м) по кабелю UTP при использовании в качестве передатчиков TTP111VP.</ul>Документация SC&T TDP414VP<p>
SNC-CS10P;"<p><strong>Sony SNC-CS10P - создана специально для высококачественного и доступного по цене сетевого видеомониторинга. Она объединяет в себе высокие параметры и такие важные функции, как встроенная система обнаружения активности и запись до/после события тревоги. Она может комплектоваться объективом с автоматической диафрагмой и сервоуправлением постоянным током (в основной комплект не входит). К тому же, поскольку ее размеры близки к размерам камер замкнутых ТВ систем, эту сетевую камеру можно размещать в стандартных кожухах для ТВ камер.</strong></p><p>Sony SNC-CS10P оснащенная ПЗС-матрицами Sony с прогрессивной разверткой и использующая продвинутую технологию DSP (Цифровая обработка сигнала), камера формирует изображения высокого разрешения с прекрасной цветопередачей.</p><p><strong>Sony SNC-CS10P</strong> также поддерживает форматы сжатия JPEG и MPEG-4 для увеличения гибкости при конфигурировании сети или выборе применения. Для дополнительного повышения эффективности работы сетевой системы видеомониторинга эта камера обеспечивает возможность одновременного доступа, функцию группового вещания и выбор функций сетевой защиты, таких как IP-фильтрация и защита паролем.</p>Технические характеристики Sony SNC-CS10P<ul> <li>Скорость (кадров в секунду) PAL 	 25 кадр/с (QVGA), 18 кадр/с (VGA) JPEG <br /><li>Тип 	 Цветная <br /><li> Стандарт сжатия 	 MJPEG, MPEG-4 <br /><li> Возможность замены объектива 	 Нет <br /><li> Максимальное разрешение (точек на дюйм) 	 640 x 480 480 x 360 384 x 288 320 x 240 256 x 192 160 x 120 (JPEG/MPEG-4) <br /><li> Минимальная освещенность: 	1,7  лк при F1,0 (50 IRE, АРУ Вкл.)<br /><li> Тип объектива 	 объектив с автоматической регулировкой диафрагмы и управлением постоянным током (объектив в основной комплект не входит) <br /><li> Тип матрицы 	 1/4-type Progressive Scan CCD <br /><li> Аналоговый видео выход 	 BNC x1, 1.0 Vp-p, 75 Ом <br /><li> Цифровые входы/выходы 	 1/1 <br /><li> Сеть Ethernet 	 10BaseT / 100BaseTX, разъем RJ45 <br /><li> Температурный диапазон 	 -10 °C ~ +50 °C <br /><li> Размеры [ШхВхГ] 	 70 x 57 x 116 мм <br /><li> Встроенный детектор движения 	 Вкл./Выкл <br /><li> Поддержка аудиоканала 	 G.711 (64 kbps) G.726 (40 / 32 / 24 / 16 kbps)</ul>Документация Sony SNC-CS10PРуководство пользователя Sony SNC-CS10P<p>"
Книга IP-видеонаблюдение. Наглядное пособие;"<p>Автор, который сам много лет занимался цифровыми системами видеонаблюдения, шаг за шагом рассматривает в данной книге все темы, связанные с системами IP-видеонаблюдения. Начиная с устройства IP-камер, автор подробно рассказывает о механизмах передачи IP-потоков, о способах записи, об устройстве видеосерверов. Большой раздел книги посвящен  сетевым технологиям, коммутационному оборудованию и вопросам построения качественной сетевой инфраструктуры. В конце книги автор приводит типовые примеры систем IP-видеонаблюдения для различных объектов, начиная с частного дома и заканчивая сложными системами в банках и торговых центрах, где количество камер измеряется сотнями. Книга написана в легкой познавательной форме. Даже самый сложный материал, связанный с различными сетевыми технологиями, автору удалось представить в максимально доступной форме. IP-Видеонаблюдение: наглядное пособие – это прекрасное пособие для начинающих, а также для тех, кто уже имеет опыт в данной области. С этой книгой вы откроете дверь в будущее систем видеонаблюдения.</p><p>Из книги ""IP-видеонаблюдение. Наглядное пособие"" Вы узнаете:<ul><li>Как работает IP-видеокамера?<br /><li>Какие из технических характеристик важны при выборе IP-камеры?<br /><li>Как собственно осуществляется передача видео от камеры к серверу?<br /><li>Как устроен сервер видеозаписи?<br /><li>Как устроена сеть, что такое маска подсети, сокет, маршрутизация?<br /><li>Как работает коммутатор и чем он отличается от маршрутизатора?<br /><li>Что означают аббревиатуры DHCP, NAT, DDNS, RSTP, IGMP, VLAN, VPN?<br /><li>Что такое мультикастинг и как он работает?</ul><br />Это лишь небольшая часть вопросов, на которые вы сможете найти ответы в данной книге. Книга поможет вам получить ясное представление о том, как устроена система IP-видеонаблюдения в целом и как работает каждый из ее компонентов в отдельности.</p>Содержание книги ""IP-видеонаблюдение. Наглядное пособие""<b>Введение</b><b>Знакомимся с IP-видеонаблюдением</b><ul><li>Что вообще означают эти две буквы IP?<br /><li>В чем преимущества IP-видеонаблюдения?<br /><li>Есть другие способы передачи мегапиксельного разрешения, кроме как через сеть?<br /><li>Из чего состоит система IP-видеонаблюдения?</ul><b>IP-Камеры</b><ul><li>Как устроена IP-камера<ul><li>ИК-фильтр<br /><li>Матрица<ul><li>Преимущества ПЗС<br /><li>Преимущества КМОП<br /><li>Физический размер матрицы</ul><li>Процессор обработки видеосигнала<br /><li>Процессор, осуществляющий компрессию<br /><li>Центральный процессор камеры<ul><li>Детекторы движения и различные функции видеоаналитики<br /><li>Запись на встроенную флеш-карту<br /><li>Веб-сервер</ul><li>Управление сухими контактами камеры<br /><li>Сетевой адаптер</ul><li>Как выбирать IP-камеры<br /><li>Что такое видеостример?</ul><b>Объективы</b><ul><li>Разрешение объектива<br /><li>Типы объективов<br /><li>Фокусное расстояние или «угол обзора»<br /><li>Светосила<br /><li>Качество фокусировки<ul><li>Асферика<br /><li>ИК-коррекция<br /><li>Глубина резкости</ul><li>Другие характеристики объектива<ul><li>Формат<br /><li>Крепление<br /><li>Управление диафрагмой</ul></ul><b>Видеозапись</b><ul><li> Куда можно записывать видеопоток от IP-камеры?<ul><li>Таблица Сравнение способов записи</ul><li> Как устроен процесс получения видеопотока<ul><li>Таблица с rtsp адресами популярных камер</ul><li> Как работает устройство видеозаписи на основе компьютера<ul><li>Центральный процессор<br /><li>Жесткие диски устройства видеозаписи<ul><li>Что такое RAID массив?<br /><li>Что такое DAS, NAS и SAN массивы?</ul><li>Сетевой интерфейс<ul><li>Сколько IP-камер можно подключить к компьютеру через сетевой интерфейс?<br /><li>Зачем серверу два сетевых порта?</ul><li>Оперативная память<br /><li>Операционная система<ul><li>Таблица: Сравнение операционных систем Windows и Linux</ul><li>Программное обеспечение для видеонаблюдения</ul><li> В чем заключается отличие видеорегистратора от компьютера<ul><li>Таблица: Сравнение регистратора и компьютерной системы</ul><li> Как выбрать оптимальный регистратор или сервер<ul><li>Количество подключаемых камер<br /><li>Поддерживаемые камеры<br /><li>Количество и максимальный объем дисков<ul><li>Как рассчитать необходимый объем массива, зная количество камер и поток?<br /><li>Использование внешних массивов и сетевых хранилищ<br /><li>Возможность объединения дисков в RAID-массив</ul><li>Надежность аппаратной части<br /><li>Возможности программного обеспечения<ul><li>Работа с «живым» видео<br /><li>Видеозапись и работа с архивами<br /><li>Гибкость настроек<br /><li>Возможность удаленной работы<br /><li>Возможности видеоаналитики<br /><li>Возможности интеграции</ul></ul></ul><b>Отображение видео</b><ul><li>Все что нужно знать о мониторах<ul><li>Выбираем монитор по характеристикам<br /><li>Сколько мониторов нам необходимо?</ul><li>Декодирование<ul><li>К чему подключают мониторы в системе IP-видеонаблюдения.<br /><li>Сравнение стандартов сжатия при декодировании<br /><li>Графические ускорители и технология CUD</ul></ul><b>Сеть</b><ul><li> Как устроена сеть?<ul><li>IP-адреса, пакеты, сокеты<br /><li>Сети, маска подсети, маршрутизация<br /><li>DNS и DDNS<br /><li>Уровни OSI<br /><li>Еще об адресации<ul><li>MAC-адрес<br /><li>DHCP</ul><li>Что такое межсетевой экран или Firewall (фаерволл)?<br /><li>Что такое Unicast, Broadcast и Multicast?<br /><li>FTP UDP TCP Upnp</ul><li> Среда передачи<ul><li>Медный кабель<br /><li>Оптоволокно<ul><li>Оборудование для оптоволоконных сетей</ul><li>Беспроводное соединение</ul><li> Сетевое оборудование<ul><li>Концентратор<br /><li>Коммутатор<br /><li>Маршрутизатор<br /><li>Беспроводная точка доступа</ul><li> Выбираем коммутатор<ul><li>Количество портов<br /><li>Скорость передачи данных<br /><li>Внутренняя пропускная способность<br /><li>Возможность подключения оптики<br /><li>Power over Ethernet (PoE)<br /><li>Размер таблицы MAC-адресов<br /><li>Уровень коммутатора<br /><li>Управляемые или неуправляемые<br /><li>Поддержка DHCP<br /><li>Поддержка DDNS<br /><li>Поддержка NAT<br /><li>Поддержка приоритетов Priority tags<br /><li>Защита от петель STP (RSTP и MSTP)<br /><li>Работа с Multicast-потоками (IGMP)<br /><li>Наличие внутреннего межсетевого экрана (Firewall)<br /><li>Поддержка VPN соединений<br /><li>Поддержка VLAN<br /><li>Возможность стекирования<br /><li>Температурный режим<br /><li>Встроенная грозозащита</ul><li> Выбираем беспроводную точку доступа<ul><li>Стандарты Wifi<br /><li>Количество антенн<br /><li>Мощность передатчика<br /><li>Коэффициент усиления антенны<br /><li>Шифрование WEP, WPA, WPA2<br /><li>Другие возможности</ul><b>Примеры систем IP-видеонаблюдения</b><ul><li>IP-наблюдение в квартире<br /><li>IP-видеонаблюдение в доме<br /><li>Наблюдение за двором и парковкой многоквартирного дома<br /><li>Супермаркет<br /><li>В торговом центре<br /><li>На периметре<br /><li>В банке<br /><li>Сеть ресторанов</ul><b>Видеоаналитика</b><ul><li>Как устроена видеоаналитика?<br /><li>Какие детекторы бывают?<br /><li>Как строится система наблюдения с аналитикой?<br /><li>Детектирование осуществляется сервером видеозаписи<br /><li>Детектирование ведет IP-камера<br /><li>Детектирование осуществляется отдельным сервером видеоаналитики</ul><b>Шпаргалки</b><ul><li>Проверка сетевого подключения<ul><li>Ping<br /><li>IPConfig<br /><li>PathPing<br /><li>Netstat<br /><li>Route<br /><li>ARP</ul><li>Обжим витой пары<br /><li>Как найти IP-камеру не зная ее IP-адреса<br /><li>Организация беспроводного подключения Wi-Fi<br /><li>Компоненты гермокоробки для уличной IP-камеры</ul><p>"
HD2 Авторегистратор миниатюрный HD-камера;"<p>Автомобильный видеорегистратор AdvoCam-HD2 предназначен для видео-аудиозаписи всего, что происходит в пути. Авторегистратор AdvoCam-HD2 позволяют вести синхронную видео-аудиозапись днем и ночью, не останавливаясь ни на секунду и не теряя ничего из виду. AdvoCam-HD2 Авторегистратор позволяет избежать множества неприятных ситуаций в поездке. Он предоставит однозначные свидетельства вашей правоты при спорных ситуациях на дороге, при попытках сотрудников ГИБДД (дорожной полиции) превысить должностные полномочия, защитит от автоподстав. AdvoCam-HD2 Авторегистратор AdvoCam-HD2 — это современный автомобильный видеорегистратор, миниатюрное устройство, сочетающее в себе множество полезных функций. </p><p>В подарок: microSD карта 2 ГБ!!!</p><p><strong>Функции автомобильного регистратора AdvoCam-HD2:</strong></p><ul><li>видеозапись<br /><li>синхронная аудиозапись<br /><li>фоторежим высокого разрешения<br /><li>просмотр трансляции и записей на встроенном экране<br /><li>циклическая запись (функция, при которой после заполнения карты памяти удаляются самые старые записи и на освободившееся место пишутся новые)<br /><li>и многое другое.</ul><p>Благодаря развитию технологий, современный автомобильный видеорегистратор обладает отличным качеством записи — HD и широким углом обзора, что позволяет получать детальную видеозапись всего, что происходит перед автомобилем. Автомобильный видеорегистратор AdvoCam-HD2 Авторегистратор сочетает в себе все самые современные технологии и нужные качества: отличное разрешение и скорость записи, высокую чувствительнсть, надежность, удобство и простоту,а также видит все то же, что видит водитель перед своим автомобилем, но, самое главное — все записывается!Автомобильный видеорегистратор станет Вашим хорошим попутчиком и надежным другом в любой поездке, а главное — принесет долгожданное спокойствие за рулем. </p><p>Авторегистратор AdvoCam-HD2 <strong>просто незаменим</strong> в таких областях применения, как:<ul><li>автоспорт<br /><li>обучение вождению<br /><li>спорные ситуации при ДТП<br /><li>спорные ситуации при нарушениях ПДД<br /><li>защита от «автоподстав»<br /><li>безопасность водителя, пассажиров и груза.<br /><li>видеозапись общения с инспекторами ДПС</ul></p><p><strong>Комплектация</strong> автомобильного видеорегистратора AdvoCam-HD2 Авторегистратор:<ul><li>Автомобильный видеорегистратор AdvoCam-HD2 — 1шт<br /><li>Карта памяти microSD 2Gb — 1шт<br /><li>Адаптер питания от 220В — 1шт<br /><li>Автомобильный адаптер питания от ""прикуривателя"" — 1шт.<br /><li>Автомобильный кронштейн с вакуумной присоской для установки на лобовое стекло — 1шт.<br /><li>Автомобильный кронштейн с силиконовым основанием для быстрой установки на торпеду — 1шт.<br /><li>Клипса для крепления видеорегистратора на одежду — 1шт.<br /><li>Пульт для удаленного управления (ПДУ) с ""липучкой"" для крепления на поверхности и клипсой для крепления на одежду — 1шт<br /><li>USB-MiniUSB кабель — 2 шт.<br /><li>AV-кабель — 1 шт.<br /><li>Руководство пользователя на русском языке — 1 шт.<br /></p></p><br /><li>CD-диск — 1 шт</ul></p>Технические характеристики AdvoCam-HD2 Авторегистратор<ul><li>HD-видеозапись в реальном времени — 720p (1280x720) 30fps<br /><li>Высокочувствительный микрофон для синхронной аудиозаписи, режим диктофона, голосовое управление<br /><li>Сверхширокий угол обзора видеокамеры 160° (по диагонали) + 6-ти кратный ZOOM<br /><li>Быстрая установка в автомобиле на лобовое стекло или на торпеду<br /><li>Простая настройка, быстрый поиск и просмотр записей на встроенном LCD-экране<br /><li>Великолепные фотографии в фоторежиме с широким углом обзора и разрешением до 8Mpxl<br /><li>Циклическая запись до 16 часов видео на microSD 32Gb. (В комплекте microSD 2Gb — около 1 часа видеозаписи).<br /><li>Быстрая архивация на компьютер через USB-порт, просмотр записей с помощью стандартных программ.<br /><li>Возможность выложить видео на YouTube и другие видеосайты<br /><li>Зарядка от USB, от 220В и от ""прикуривателя"" автомобиля<br /><li>До 4-х часов работы в режиме видеозаписи от встроенного аккумулятора<br /><li>Просмотр записей на обычных и HD/FullHD-телевизорах<br /><li>Управление на дистанции до 5м с помощью пульта ПДУ.</ul><br /><p><strong>Автомобильный видеорегистратор AdvoCam-HD2 в работе</strong></p><br />Пример видеозаписи днем:<br /><br clear=""left""><br /><br clear=""left""><br />Съемка во время путешествия:<br /><br clear=""left""><br /><br clear=""left""><br />Два способа крепления Авторегистратора:<br /><br clear=""left""><br /><br clear=""left""><p>Документация Авторегистратора AdvoCam-HD2 </p>Руководство пользователя на Авторегистратор AdvoCam-HD2<p>"
SI-130 F;
LR41;<p>AV Tech LR41 — 4-канальный цифровой видеорегистратор, с графическим экранным меню на русском языке, управлением USB-мышью. Основное свойство данного видеорегистратора, это многозадачность: отображение живого видео, запись, воспроизведение, архивация, работа по сети одновременно (пентаплекс). При одновременном подключении CRT и LCD мониторов, изображение будет выводиться на LCD монитор в автоматическом режиме, возможно ручное переключение вывода изображения на CRT монитор, однако одновременное использование CRT и VGA мониторов невозможно. ИК-пульт входит в комплект, а USB-мышью видеорегистратор не комплектуется.<br /></p>Технические характеристики AV Tech LR41<ul><li>Видеовходы / видеовыходы: 4 видеовхода (BNC), видеовыход (BNC) на CRT монитор, видеовыход VGA, разрешение 1024*768.<br /><li>Детектор потери видеосигнала.<br /><li>Стандарты видеосигнала: автоматическое определение PAL / NTSC.<br /><li>Формат сжатия и передачи по сети: H.264.<br /><li>Аудиовходы / аудиовыходы: 1 аудиовход, 1 аудиовыход (моно).<br /><li>Входы / выходы тревоги: 4 входа / 1 выход.<br /><li>Скорость записи видеосигнала на каждый канал:   25 кадров/сек. при разрешении 352*288 пикселей (CIF). 6 кадров/сек. при разрешении 704*576 пикселей (FRAME).<br /><li>Режимы записи: ручной, по расписанию, по детектору движения, по тревоге, запись на удаленный компьютер.<br /><li>Отправка уведомлений по тревоге на E-mail или FTP-сервер — при срабатывании детектора движения, видеорегистратор отправляет html-файл со ссылкой на записанный по тревоге видеофрагмент на указанный почтовый адрес  или ftp-сервер.<br /><li>Настройка зон детектора движения по секторам 16*12 для каждого канала.<br /><li>Буфер предтревожной записи: 8 Мб.<br /><li>Быстрый поиск по времени события, записи по движению или тревоге.<br /><li>Парольная защита доступа к настройкам и режимам записи.<br /><li>Режим «маскировки» записи — запись ведется, но картинка с камеры на экране монитора не отображается.<br /><li>HDD: поддерживает 1 жесткий диск Serial-ATA емкостью до 2 Тб, очистка за 2 секунды. Жесткий диск в комплект не входит.<br /><li>Скорость работы сетевого порта Ethernet: 10/100 Мбит/с.<br /><li>Поддерживает сетевые протоколы TCP/IP, PPPoE, DHCP и DDNS.<br /><li>Управление и просмотр видео по локальной сети или интернет через собственное программное обеспечение «CMS VideoViewer» (в комплекте) или интернет-браузеры.<br /><li>Возможна одновременная работа до 5 сетевых пользователей.<br /><li>Поддерживаемые браузеры: Internet Explorer, Firefox,  (для Firefox необходим плагин QuickTime Player), Google Chrome.<br /><li>Поддерживаемые операционные системы: Windows 7, Vista, XP, 2000.<br /><li>Наблюдение с мобильных устройств: через собственные веб-браузеры мобильных устройств, поддерживаются платформы iPhone, BlackBerry, Windows Mobile, Symbian, Android.<br /><li>Архивация: по сети или на USB 2.0 носители.<br /><li>Управление поворотными камерами: фирменный протокол AV Tech (стандартный), поддержка протокола Pelco-D.<br /><li>Автоматическое восстановление системы после перебоев с питанием.<br /><li>Название каждой камеры может содержать до 12 знаков.<br /><li>Автоматический переход на летнее и зимнее время.<br /><li>2-кратный цифровой зум для «живого» видео или записи.<br /><li>Блок питания DC 12 В в комплекте.<br /><li>Потребляемая мощность: 36 Вт.<br /><li>Рабочая температура: от +10 до +40° С.<br /><li>Размеры видеорегистратора (В*Ш*Г): 68*345*225 мм.<br /><li>Размеры упаковки с видеорегистратором (В*Ш*Г): 120*410*330 мм.</ul>Документация AV Tech LR41<p>
HD1 Авторегистратор;"<p>Автомобильный видеорегистратор AdvoCam-HD1 Авторегистратор предназначен для видео-аудиозаписи всего, что происходит в пути. Авторегистратор AdvoCam-HD1 позволяют вести синхронную видео-аудиозапись днем и ночью, не останавливаясь ни на секунду и не теряя ничего из виду. AdvoCam-HD2 Авторегистратор позволяет избежать множества неприятных ситуаций в поездке. Он предоставит однозначные свидетельства вашей правоты при спорных ситуациях на дороге, при попытках сотрудников ГИБДД (дорожной полиции) превысить должностные полномочия, защитит от автоподстав. AdvoCam-HD1 Авторегистратор — это современный автомобильный видеорегистратор, миниатюрное устройство, сочетающее в себе множество полезных функций. </p><p>В подарок: microSD карта 2 ГБ!!!</p><p><strong>Функции автомобильного регистратора AdvoCam-HD1 Авторегистратор:</strong></p><ul><li>видеозапись<br /><li>синхронная аудиозапись<br /><li>фоторежим высокого разрешения<br /><li>просмотр трансляции и записей на встроенном экране<br /><li>циклическая запись (функция, при которой после заполнения карты памяти удаляются самые старые записи и на освободившееся место пишутся новые)<br /><li>и многое другое.</ul><p>Благодаря развитию технологий, современный автомобильный видеорегистратор обладает отличным качеством записи — HD и широким углом обзора, что позволяет получать детальную видеозапись всего, что происходит перед автомобилем. Автомобильный видеорегистратор AdvoCam-HD1 Авторегистратор сочетает в себе все самые современные технологии и нужные качества: отличное разрешение и скорость записи, высокую чувствительнсть, надежность, удобство и простоту,а также видит все то же, что видит водитель перед своим автомобилем, но, самое главное — все записывается!Автомобильный видеорегистратор станет Вашим хорошим попутчиком и надежным другом в любой поездке, а главное — принесет долгожданное спокойствие за рулем. </p><p>AdvoCam-HD1 Авторегистратор <strong>просто незаменим</strong> в таких областях применения, как:<ul><li>автоспорт<br /><li>обучение вождению<br /><li>спорные ситуации при ДТП<br /><li>спорные ситуации при нарушениях ПДД<br /><li>защита от «автоподстав»<br /><li>безопасность водителя, пассажиров и груза.<br /><li>видеозапись общения с инспекторами ДПС</ul></p><p><strong>Комплектация</strong> автомобильного видеорегистратора AdvoCam-HD1 Авторегистратор:<ul><li>Видеорегистратор — 1 шт.<br /><li>Адаптер питания от прикуривателя — 1 шт.<br /><li>Кронштейн с вакуумной присоской на лобовое стекло — 1 шт.<br /><li>Кабель USB-miniUSB — 1 шт.<br /><li>Руководство пользователя — 1 шт.<br /><li>Компакт-диск — 1 шт.<br /><li>Наклейка на лобовое стекло — 1 шт.</p></ul></p>Технические характеристики AdvoCam-HD1 Авторегистратор<ul><li>HD-видеозапись в реальном времени — 720p (1280x720) 30fps<br /><li>Размер фото: 3–8 Мпикс, jpeg<br /><li>Высокочувствительный микрофон для синхронной аудиозаписи, режим диктофона, голосовое управление<br /><li>Сверхширокий угол обзора видеокамеры 160° (по диагонали) + 6-ти кратный ZOOM<br /><li>Быстрая установка в автомобиле на лобовое стекло или на торпеду<br /><li>Простая настройка, быстрый поиск и просмотр записей на встроенном LCD-экране<br /><li>Великолепные фотографии в фоторежиме с широким углом обзора и разрешением до 8Mpxl<br /><li>Циклическая запись до 16 часов видео на microSD 32Gb. (В комплекте microSD 2Gb — около 1 часа видеозаписи).<br /><li>Быстрая архивация на компьютер через USB-порт, просмотр записей с помощью стандартных программ.<br /><li>Возможность выложить видео на YouTube и другие видеосайты<br /><li>Зарядка от USB, от 220В и от ""прикуривателя"" автомобиля<br /><li>До 4-х часов работы в режиме видеозаписи от встроенного аккумулятора<br /><li>Просмотр записей на обычных и HD/FullHD-телевизорах<br /><li>Управление на дистанции до 5м с помощью пульта ПДУ<br /><li>Потребляемый ток: 350 мА / 3,7 В (макс.)<br /><li>Емкость аккумулятора: 1400 мА/ч. / 3,7 В<br /><li>Размеры: 85 х 50 х 23 мм<br /><li>Вес: 81 г<br /><li>Температура эксплуатации: –10°C — +50°</ul><br /><p><strong>Автомобильный видеорегистратор AdvoCam-HD1 Авторегистратор в работе</strong></p><br />Обзор авторегистратора:<br /><br clear=""left""><br /><br clear=""left""><br />Промо ролик:<br /><br clear=""left""><br /><br clear=""left""><br />Документация AdvoCam-HD1 Авторегистратор</p>Руководство пользователя на AdvoCam-HD1 Авторегистратор<p>"
